Date,BTCUSD,Avg Block Size,Difficulty,Hashrate,Miner's Revenue,TrFee,TrFee/block,TrFee/day
2010-08-17,0.0769,0.000914238791429,511.773534257,0.00333269244941,503.695,1.43095170455,1.0,352.0
2010-08-18,0.074,0.00188165679014,511.773534257,0.00338357325017,492.174,1.30550132626,1.0,377.0
2010-08-19,0.0688,0.000681822640555,511.773534257,0.00356165605281,481.6,1.30869565217,1.0,368.0
2010-08-20,0.0667,0.000618643389491,511.773534257,0.00424854686299,556.945,1.39935929648,1.0,398.0
2010-08-21,0.066899,0.000503591869188,511.773534257,0.00468103366941,615.4708,1.76859425287,1.0,348.0
2010-08-22,0.0664,0.000467942587694,511.773534257,0.00506263967506,660.68,1.88765714286,1.0,350.0
2010-08-23,0.066,0.000471919362995,511.773534257,0.00552056688185,716.1,1.84087403599,1.0,389.0
2010-08-24,0.066889,0.000414108648533,511.773534257,0.00521528207733,685.61225,2.03445771513,1.0,337.0
2010-08-25,0.0665,0.000736585272566,511.773534257,0.00577497088563,754.775,1.90599747475,1.0,396.0
2010-08-26,0.066499,0.000476053127876,511.773534257,0.00529160327846,691.5896,1.84917005348,2.0,374.0
2010-08-27,0.065,0.000523738646775,623.386959869,0.00551599462684,578.5,1.98797250859,2.0,291.0
2010-08-28,0.065,0.000520317248126,623.386959869,0.0055469833607,581.75,1.6716954023,2.0,348.0
2010-08-29,0.0648,0.000471537626242,623.386959869,0.00489621994967,511.92,1.91014925373,1.0,268.0
2010-08-30,0.069,0.000573043055182,623.386959869,0.00461732134494,514.05,1.78489583333,1.0,288.0
2010-08-31,0.06497,0.00101766858782,623.386959869,0.00542302842527,568.4875,1.22255376344,1.0,465.0
2010-09-01,0.0649,0.000793733380058,623.386959869,0.00545401715913,571.12,1.39980392157,1.0,408.0
2010-09-02,0.0629,0.000545817495182,623.386959869,0.00467929881266,474.895,1.54186688312,1.0,308.0
2010-09-03,0.0634,0.000505697727203,623.386959869,0.00495819741739,507.2,1.6152866242,1.0,314.0
2010-09-04,0.0613,0.000423106401326,623.386959869,0.0055469833607,548.635,1.9183041958,2.0,286.0
2010-09-05,0.0629,0.000507913989785,623.386959869,0.00502017488511,509.49,1.68148514851,2.0,303.0
2010-09-06,0.064,0.000464501465566,623.386959869,0.00523709602212,540.8,1.81476510067,1.0,298.0
2010-09-07,0.06185,0.000491483322043,623.386959869,0.00467929881266,466.9675,1.72312730627,1.0,271.0
2010-09-08,0.06201,0.000495502823278,712.884864552,0.00538653022243,471.276,1.61395890411,2.0,292.0
2010-09-09,0.0624,0.000635046043143,712.884864552,0.0053510925236,471.12,1.37352769679,2.0,343.0
2010-09-10,0.06201,0.000596514919348,712.884864552,0.00605984650023,530.1855,1.40260714286,2.0,378.0
2010-09-11,0.062,0.000446113539331,712.884864552,0.00574090721075,502.2,1.69662162162,2.0,296.0
2010-09-12,0.064999,0.000547278774241,712.884864552,0.00648509888621,594.74085,1.69925957143,1.0,350.0
2010-09-13,0.06201,0.000805779201228,712.884864552,0.00581178260841,508.482,1.16624311927,1.0,436.0
2010-09-14,0.0641,0.000634716718625,712.884864552,0.00691035127219,624.975,1.43014874142,1.0,437.0
2010-09-15,0.175,0.00069819612706,712.884864552,0.00666228738037,1645.0,3.65555555556,2.0,450.0
2010-09-16,0.0619,0.000523617393092,712.884864552,0.00673316277804,588.05,1.5475,3.0,380.0
2010-09-17,0.0609,0.000418548230772,712.884864552,0.00765454294766,657.72,1.73540897098,4.0,379.0
2010-09-18,0.0609,0.000705743137794,712.884864552,0.00839873462313,721.665,1.67439675174,3.0,431.0
2010-09-19,0.062599,0.000461473919096,917.830741302,0.00958137886114,657.2895,1.93890707965,2.0,339.0
2010-09-20,0.0634,0.000555797775775,917.830741302,0.00962700447476,668.87,1.585,2.0,422.0
2010-09-21,0.0633,0.001077959093,917.830741302,0.00807573361153,560.205,0.880825471698,2.0,636.0
2010-09-22,0.0628,0.00147187227459,917.830741302,0.00789323115703,543.22,0.679874843554,2.0,799.0
2010-09-23,0.063,0.000962585773108,917.830741302,0.00967263008839,667.8,0.956733524355,2.0,698.0
2010-09-24,0.06281,0.000620547348891,917.830741302,0.0112239009516,772.563,1.38452150538,5.0,558.0
2010-09-25,0.0624,0.000605408507999,917.830741302,0.00921637395214,630.24,1.39742793792,2.0,451.0
2010-09-26,0.062279,0.000665388736628,917.830741302,0.00898824588402,613.44815,1.35120737885,3.0,454.0
2010-09-27,0.062206,0.00079733183404,917.830741302,0.0108588960426,740.2514,1.15845289515,4.0,639.0
2010-09-28,0.06271,0.000796446093807,917.830741302,0.00985513254288,677.268,1.45025267666,3.0,467.0
2010-09-29,0.06219,0.00238739164536,1318.67005015,0.011602605543,550.44369,0.551546783567,2.0,998.0
2010-09-30,0.06192,0.000937177779827,1318.67005015,0.00924275356814,436.536,1.21937430168,2.0,358.0
2010-10-01,0.061999,0.00102240000016,1318.67005015,0.0102260252243,483.5922,0.858955950266,2.0,563.0
2010-10-02,0.061999,0.00134549447156,1318.67005015,0.00714510736828,337.89455,0.674440219561,2.0,501.0
2010-10-03,0.0614,0.00113605467741,1318.67005015,0.00793172469322,371.47,0.926359102244,2.0,401.0
2010-10-04,0.062,0.000856839217149,1318.67005015,0.0100949223368,477.4,1.15314009662,2.0,414.0
2010-10-05,0.06301,0.000925498280099,1318.67005015,0.00806282758072,387.5115,1.09776628895,2.0,353.0
2010-10-06,0.0633,0.000791461844193,1318.67005015,0.00996381944934,481.08,1.17911764706,2.0,408.0
2010-10-07,0.0638,0.000655124642256,1318.67005015,0.011340399768,551.87,1.49154054054,2.0,370.0
2010-10-08,0.088,0.000749895649572,1318.67005015,0.0101604737806,682.0,1.98833819242,2.0,343.0
2010-10-09,0.12001,0.000866403766707,1318.67005015,0.0100293708931,918.0765,2.40334162304,1.0,382.0
2010-10-10,0.12,0.000671164934025,1318.67005015,0.0112748483243,1032.0,2.76675603217,1.0,373.0
2010-10-11,0.1301,0.000603693181818,1318.67005015,0.010815988218,1073.325,3.08426724138,1.0,348.0
2010-10-12,0.099,0.000665891170502,1378.02816504,0.0109603442626,792.0,2.19390581717,1.0,361.0
2010-10-13,0.095,0.000643566515319,1378.02816504,0.0115768636274,802.75,2.29357142857,1.0,350.0
2010-10-14,0.105,0.000766227642695,1378.02816504,0.0131524131151,1008.0,2.68085106383,3.0,376.0
2010-10-15,0.119,0.000489338024243,1378.02816504,0.0126728980536,1100.75,3.30555555556,2.0,333.0
2010-10-16,0.109,0.000567895099209,1378.02816504,0.0163720142423,1302.55,3.16152912621,2.0,412.0
2010-10-17,0.1045,0.000463607463431,1378.02816504,0.0193176067628,1473.45,3.03804123711,3.0,485.0
2010-10-18,0.103,0.000598384959488,1378.02816504,0.0178790615784,1344.15,2.5999032882,3.0,517.0
2010-10-19,0.1024,0.00120341140056,1378.02816504,0.0166460228488,1244.16,1.29062240664,2.0,964.0
2010-10-20,0.103,0.000953189328186,1378.02816504,0.016029503484,1205.1,1.73896103896,2.0,693.0
2010-10-21,0.109,0.000772005498665,2149.02181495,0.0248910297496,1269.85,2.10938538206,2.0,602.0
2010-10-22,0.107,0.000974960576475,2149.02181495,0.0163447534407,818.55,1.65363636364,2.0,495.0
2010-10-23,0.10901,0.00105424859058,2149.02181495,0.0185881509718,948.387,1.5222905297,2.0,623.0
2010-10-24,0.19,0.000697812075337,2149.02181495,0.0201905777797,1795.5,3.79598308668,1.0,473.0
2010-10-25,0.15,0.000605047316778,2149.02181495,0.0224339753108,1575.0,3.28810020877,1.0,479.0
2010-10-26,0.19,0.000640352895437,2149.02181495,0.0258524858344,2299.0,4.7304526749,1.0,486.0
2010-10-27,0.19,0.000862566929943,2149.02181495,0.0226476322185,2014.0,3.539543058,1.0,569.0
2010-10-28,0.19001,0.00067801808202,2149.02181495,0.0229681175801,2042.6075,4.085215,1.0,500.0
2010-10-29,0.191,0.00060217431251,2149.02181495,0.0251046866573,2244.25,4.81598712446,1.0,466.0
2010-10-30,0.1919,0.000630180040995,2149.02181495,0.0256388289266,2302.8,5.18648648649,1.0,444.0
2010-10-31,0.199,0.000455798683586,3091.73689041,0.0279717755492,1810.9,5.82282958199,1.0,311.0
2010-11-01,0.1975,0.000586920596184,3091.73689041,0.0288939219959,1856.5,5.10027472527,1.0,364.0
2010-11-02,0.1955,0.000452739851815,3091.73689041,0.025820100507,1642.2,5.80282685512,1.0,283.0
2010-11-03,0.275,0.00045420518562,3091.73689041,0.0308919059637,2763.75,8.2747005988,1.0,334.0
2010-11-04,0.23601,0.000463405828825,3091.73689041,0.0293549952192,2253.8955,6.64865929204,1.0,339.0
2010-11-05,0.2399,0.000596481915478,3091.73689041,0.0336583453037,2626.905,6.31467548077,1.0,416.0
